BestellID,Bestelldatum,Bestellart,Lieferant,Artikelnummer,Artikelbeschreibung,Menge,Einheit,PreisProEinheit,Bestellstatus,GeplantesLieferdatum,TatsächlichesLieferdatum,AktuellerLagerbestand,Engpass,KritischSeit,Gesamtpreis,Lieferdauer,JahrMonat,Kategorie
1000,2023-07-05,Standardbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,46,Stück,98.46,Offen,2023-07-12,2023-07-12,20,True,2023-07-30,4529.16,7,2023-07,Sonstiges
1001,2023-11-19,Standardbestellung,SRAM Corporation,SR-CN-NX12,Kette NX Eagle 12-fach,26,Stück,56.13,Geliefert,2023-11-29,2023-11-27,50,False,,1459.38,8,2023-11,Antrieb
1002,2023-11-14,Standardbestellung,Continental AG,CO-RE-RACE,Fahrradreifen Race King 2.2,185,Stück,10.86,Geliefert,2023-11-24,2023-11-26,267,False,,2009.1,12,2023-11,Sonstiges
1003,2023-09-13,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT5,Bremshebel MT5,80,Stück,117.17,Teilgeliefert,2023-09-22,2023-09-22,110,False,,9373.6,9,2023-09,Bremsen
1004,2024-04-08,Eilbestellung,Shimano GmbH,SH-CS-M8100,Kassette XT CS-M8100 12-fach,151,Stück,26.92,Teilgeliefert,2024-04-18,2024-04-21,6,True,2024-05-07,4064.92,13,2024-04,Sonstiges
1005,2023-10-23,Standardbestellung,Selle Italia S.r.l.,SI-GR-EPICA,Fahrradgriffe Epica,63,Stück,110.46,Offen,2023-10-27,2023-10-29,18,True,2023-11-22,6958.98,6,2023-10,Sonstiges
1006,2024-02-22,Standardbestellung,SRAM Corporation,SR-CN-NX12,Kette NX Eagle 12-fach,66,Stück,124.14,Offen,2024-03-03,2024-03-01,182,False,,8193.24,8,2024-02,Antrieb
1007,2023-01-03,Standardbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,54,Stück,107.02,Geliefert,2023-01-11,2023-01-11,3,True,2023-02-02,5779.08,8,2023-01,Sonstiges
1008,2024-01-09,Eilbestellung,SRAM Corporation,SR-RD-GX1,Schaltwerk GX Eagle,60,Stück,135.22,Offen,2024-01-13,2024-01-12,12,True,2024-01-18,8113.2,3,2024-01,Sonstiges
1009,2023-10-16,Standardbestellung,Continental AG,CO-TU-PREM,Fahrradschlauch Presta Ventil,82,Stück,60.84,Teilgeliefert,2023-10-25,2023-10-25,0,True,2023-11-03,4988.88,9,2023-10,Sonstiges
1010,2023-06-04,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 180mm,67,Stück,44.33,Geliefert,2023-06-09,2023-06-07,2,True,2023-06-29,2970.1099999999997,3,2023-06,Bremsen
1011,2023-12-30,Standardbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,193,Stück,65.77,Offen,2024-01-03,2024-01-04,20,True,2024-01-12,12693.609999999999,5,2023-12,Sonstiges
1012,2023-01-15,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-CL,Bremsscheibe Centerlock 180mm,190,Stück,39.06,Offen,2023-01-25,2023-01-25,8,True,2023-01-29,7421.400000000001,10,2023-01,Bremsen
1013,2023-01-11,Eilbestellung,SRAM Corporation,SR-CN-GX12,Kette GX Eagle 12-fach,14,Stück,33.16,Offen,2023-01-19,2023-01-19,220,False,,464.23999999999995,8,2023-01,Antrieb
1014,2023-09-08,Standardbestellung,Continental AG,CO-TU-TOUR,Fahrradschlauch Tour 28,144,Stück,38.86,Offen,2023-09-15,2023-09-17,1,True,2023-09-20,5595.84,9,2023-09,Sonstiges
1015,2023-10-16,Standardbestellung,Selle Italia S.r.l.,SI-BA-FLITE,Fahrradsattel Flite,186,Stück,24.85,Teilgeliefert,2023-10-19,2023-10-22,15,True,2023-10-22,4622.1,6,2023-10,Sonstiges
1016,2023-07-10,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT2,Bremshebel MT2,52,Stück,95.37,Offen,2023-07-19,2023-07-18,7,True,2023-07-17,4959.24,8,2023-07,Bremsen
1017,2023-04-17,Eilbestellung,Continental AG,CO-TU-PREM,Fahrradschlauch Presta Ventil,170,Stück,95.8,Offen,2023-04-25,2023-04-27,1,True,2023-04-24,16286.0,10,2023-04,Sonstiges
1018,2023-10-28,Eilbestellung,SRAM Corporation,SR-FC-SX1,Kurbelgarnitur SX Eagle,37,Stück,25.35,Offen,2023-10-31,2023-10-29,10,True,2023-11-14,937.95,1,2023-10,Sonstiges
1019,2023-02-08,Eilbestellung,Continental AG,CO-RE-XKING,Fahrradreifen X-King 2.2,85,Stück,19.0,Geliefert,2023-02-15,2023-02-17,18,True,2023-02-24,1615.0,9,2023-02,Sonstiges
1020,2024-03-03,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 203mm,85,Stück,68.98,Offen,2024-03-08,2024-03-11,6,True,2024-03-19,5863.3,8,2024-03,Bremsen
1021,2024-01-06,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 180mm,79,Stück,47.35,Offen,2024-01-15,2024-01-15,17,True,2024-02-03,3740.65,9,2024-01,Bremsen
1022,2023-10-13,Standardbestellung,SRAM Corporation,SR-FC-GX1,Kurbelgarnitur GX Eagle,175,Stück,42.27,Geliefert,2023-10-20,2023-10-18,216,False,,7397.250000000001,5,2023-10,Sonstiges
1023,2024-02-24,Eilbestellung,Continental AG,CO-RE-SPEED,Fahrradreifen Speed King 2.2,132,Stück,102.16,Teilgeliefert,2024-03-05,2024-03-07,5,True,2024-03-10,13485.119999999999,12,2024-02,Sonstiges
1024,2023-08-03,Standardbestellung,Shimano GmbH,SH-CN-M7100,Kette SLX CN-M7100 12-fach,190,Stück,27.36,Geliefert,2023-08-12,2023-08-13,17,True,2023-08-27,5198.4,10,2023-08,Antrieb
1025,2023-07-23,Eilbestellung,SRAM Corporation,SR-BB-DUB-PF,Innenlager DUB Pressfit,101,Stück,23.73,Geliefert,2023-07-28,2023-07-26,75,False,,2396.73,3,2023-07,Sonstiges
